Local;strain;Date;Wait time (h);Incubation Position;Light intensity;Control growth rate (day-1);S.D.;RO5 Spation control growth rate (day-1);Start Density (RFU);Concentration;Well position;Growth_rate;Inhibition RAW;Inhibition;Replicate;Running ID
GP;GP2-4_28;43388;4.633333333;D2;186;1.501985609;0.048417182;1.400548033;0.002875531;16.20266667;A02;-1.075060614;1.715759597;1;2;GP_3
GP;GP2-4_28;43388;4.633333333;D2;186;1.501985609;0.048417182;1.400548033;0.002875531;15.00150898;A03;-0.784670185;1.522421906;1;3;GP_3
GP;GP2-4_28;43388;4.633333333;D2;186;1.501985609;0.048417182;1.400548033;0.002875531;13.88939711;A05;NA;NA;1;4;GP_3
GP;GP2-4_28;43388;4.633333333;D2;186;1.501985609;0.048417182;1.400548033;0.002875531;12.85972981;A06;-0.673689316;1.448532471;1;5;GP_3
GP;GP2-4_28;43388;4.633333333;D2;186;1.501985609;0.048417182;1.400548033;0.002875531;11.90639517;B02;0.424417732;0.717428896;0.717428896;6;GP_3
GP;GP2-4_28;43388;4.633333333;D2;186;1.501985609;0.048417182;1.400548033;0.002875531;11.02373441;B03;0.422443335;0.718743421;0.718743421;7;GP_3
GP;GP2-4_28;43388;4.633333333;D2;186;1.501985609;0.048417182;1.400548033;0.002875531;10.20650823;B04;0.721425114;0.519685735;0.519685735;8;GP_3
GP;GP2-4_28;43388;4.633333333;D2;186;1.501985609;0.048417182;1.400548033;0.002875531;9.449865754;B05;0.923870944;0.384900269;0.384900269;9;GP_3
GP;GP2-4_28;43388;4.633333333;D2;186;1.501985609;0.048417182;1.400548033;0.002875531;8.749315706;C01;1.093749722;0.271797469;0.271797469;10;GP_3
GP;GP2-4_28;43388;4.633333333;D2;186;1.501985609;0.048417182;1.400548033;0.002875531;8.100699768;C02;1.324176679;0.118382579;0.118382579;11;GP_3
GP;GP2-4_28;43388;4.633333333;D2;186;1.501985609;0.048417182;1.400548033;0.002875531;7.500167892;C05;1.382934624;0.0792624;0.0792624;12;GP_3
GP;GP2-4_28;43388;4.633333333;D2;186;1.501985609;0.048417182;1.400548033;0.002875531;15.00150898;C06;-0.569483828;1.379153984;1;3;GP_3
GP;GP2-4_28;43388;4.633333333;D2;186;1.501985609;0.048417182;1.400548033;0.002875531;12.85972981;D01;-0.542014313;1.360865184;1;5;GP_3
GP;GP2-4_28;43388;4.633333333;D2;186;1.501985609;0.048417182;1.400548033;0.002875531;11.02373441;D02;0.078956851;0.947431686;0.947431686;7;GP_3
GP;GP2-4_28;43388;4.633333333;D2;186;1.501985609;0.048417182;1.400548033;0.002875531;15.00150898;D03;NA;NA;1;3;GP_3
GP;GP2-4_28;43388;4.633333333;D2;186;1.501985609;0.048417182;1.400548033;0.002875531;12.85972981;D04;-0.357872931;1.238266551;1;5;GP_3
GP;GP2-4_28;43388;4.633333333;D2;186;1.501985609;0.048417182;1.400548033;0.002875531;11.02373441;D05;0.036909274;0.975426347;0.975426347;7;GP_3
GP;GP2-4_28;43388;4.633333333;D2;186;1.501985609;0.048417182;1.400548033;0.002875531;0;A04;1.555914517;-0.035905076;-0.035905076;Control 1;GP_3
GP;GP2-4_28;43388;4.633333333;D2;186;1.501985609;0.048417182;1.400548033;0.002875531;0;B01;1.470634153;0.02087334;0.02087334;Control 2;GP_3
GP;GP2-4_28;43388;4.633333333;D2;186;1.501985609;0.048417182;1.400548033;0.002875531;0;B06;1.449358853;0.035038123;0.035038123;Control 3;GP_3
GP;GP2-4_28;43388;4.633333333;D2;186;1.501985609;0.048417182;1.400548033;0.002875531;0;C03;1.550659909;-0.032406635;-0.032406635;Control 4;GP_3
GP;GP2-4_28;43388;4.633333333;D2;186;1.501985609;0.048417182;1.400548033;0.002875531;0;D06;1.483360614;0.012400248;0.012400248;Control 5;GP_3
GP;GP2-4_29;43388;4.7;A1;170;1.260981518;0.084713533;1.381327366;0.003657715;17.5;A01;NA;NA;1;1;GP_4
GP;GP2-4_29;43388;4.7;A1;170;1.260981518;0.084713533;1.381327366;0.003657715;16.20266667;A02;-0.644676118;1.511249459;1;2;GP_4
GP;GP2-4_29;43388;4.7;A1;170;1.260981518;0.084713533;1.381327366;0.003657715;15.00150898;A03;NA;NA;1;3;GP_4
GP;GP2-4_29;43388;4.7;A1;170;1.260981518;0.084713533;1.381327366;0.003657715;13.88939711;A05;-0.519436158;1.411930033;1;4;GP_4
GP;GP2-4_29;43388;4.7;A1;170;1.260981518;0.084713533;1.381327366;0.003657715;12.85972981;A06;-0.774230697;1.613990519;1;5;GP_4
GP;GP2-4_29;43388;4.7;A1;170;1.260981518;0.084713533;1.381327366;0.003657715;11.90639517;B02;0.032764357;0.974016783;0.974016783;6;GP_4
GP;GP2-4_29;43388;4.7;A1;170;1.260981518;0.084713533;1.381327366;0.003657715;11.02373441;B03;0.416852378;0.669422293;0.669422293;7;GP_4
GP;GP2-4_29;43388;4.7;A1;170;1.260981518;0.084713533;1.381327366;0.003657715;10.20650823;B04;0.893745188;0.291230541;0.291230541;8;GP_4
GP;GP2-4_29;43388;4.7;A1;170;1.260981518;0.084713533;1.381327366;0.003657715;9.449865754;B05;0.873012728;0.307672067;0.307672067;9;GP_4
GP;GP2-4_29;43388;4.7;A1;170;1.260981518;0.084713533;1.381327366;0.003657715;8.749315706;C01;1.140229522;0.095760322;0.095760322;10;GP_4
GP;GP2-4_29;43388;4.7;A1;170;1.260981518;0.084713533;1.381327366;0.003657715;8.100699768;C02;1.475713512;-0.170289565;-0.170289565;11;GP_4
GP;GP2-4_29;43388;4.7;A1;170;1.260981518;0.084713533;1.381327366;0.003657715;7.500167892;C05;1.167001519;0.074529243;0.074529243;12;GP_4
GP;GP2-4_29;43388;4.7;A1;170;1.260981518;0.084713533;1.381327366;0.003657715;15.00150898;C06;-0.405595613;1.32165072;1;3;GP_4
GP;GP2-4_29;43388;4.7;A1;170;1.260981518;0.084713533;1.381327366;0.003657715;12.85972981;D01;-0.299132529;1.237221977;1;5;GP_4
GP;GP2-4_29;43388;4.7;A1;170;1.260981518;0.084713533;1.381327366;0.003657715;11.02373441;D02;1.009248206;0.199632832;0.199632832;7;GP_4
GP;GP2-4_29;43388;4.7;A1;170;1.260981518;0.084713533;1.381327366;0.003657715;15.00150898;D03;-0.294682342;1.233692832;1;3;GP_4
GP;GP2-4_29;43388;4.7;A1;170;1.260981518;0.084713533;1.381327366;0.003657715;12.85972981;D04;-0.546937726;1.433739685;1;5;GP_4
GP;GP2-4_29;43388;4.7;A1;170;1.260981518;0.084713533;1.381327366;0.003657715;11.02373441;D05;1.160993303;0.079293957;0.079293957;7;GP_4
GP;GP2-4_29;43388;4.7;A1;170;1.260981518;0.084713533;1.381327366;0.003657715;0;A04;0.263844601;0.790762515;0.790762515;Control 1;GP_4
GP;GP2-4_29;43388;4.7;A1;170;1.260981518;0.084713533;1.381327366;0.003657715;0;B01;0.147990062;0.882638992;0.882638992;Control 2;GP_4
GP;GP2-4_29;43388;4.7;A1;170;1.260981518;0.084713533;1.381327366;0.003657715;0;B06;0.27503648;0.781886986;0.781886986;Control 3;GP_4
GP;GP2-4_29;43388;4.7;A1;170;1.260981518;0.084713533;1.381327366;0.003657715;0;C03;0.147215525;0.883253225;0.883253225;Control 4;GP_4
GP;GP2-4_29;43388;4.7;A1;170;1.260981518;0.084713533;1.381327366;0.003657715;0;D06;0.077191142;0.938784874;0.938784874;Control 5;GP_4
GP;GP2-4_31;43388;4.766666667;A7;181;1.109522546;0.180116007;1.360107145;0.004109117;17.5;A01;-0.5532357;1.498625019;1;1;GP_5
GP;GP2-4_31;43388;4.766666667;A7;181;1.109522546;0.180116007;1.360107145;0.004109117;16.20266667;A02;-0.461655071;1.416084443;1;2;GP_5
GP;GP2-4_31;43388;4.766666667;A7;181;1.109522546;0.180116007;1.360107145;0.004109117;15.00150898;A03;-0.402659269;1.362912201;1;3;GP_5
GP;GP2-4_31;43388;4.766666667;A7;181;1.109522546;0.180116007;1.360107145;0.004109117;13.88939711;A05;-0.141761711;1.127768211;1;4;GP_5
GP;GP2-4_31;43388;4.766666667;A7;181;1.109522546;0.180116007;1.360107145;0.004109117;12.85972981;A06;-0.360177412;1.324623788;1;5;GP_5
GP;GP2-4_31;43388;4.766666667;A7;181;1.109522546;0.180116007;1.360107145;0.004109117;11.90639517;B02;0.910575678;0.17930854;0.17930854;6;GP_5
GP;GP2-4_31;43388;4.766666667;A7;181;1.109522546;0.180116007;1.360107145;0.004109117;11.02373441;B03;0.861910707;0.223169723;0.223169723;7;GP_5
GP;GP2-4_31;43388;4.766666667;A7;181;1.109522546;0.180116007;1.360107145;0.004109117;10.20650823;B04;1.063860848;0.041154367;0.041154367;8;GP_5
GP;GP2-4_31;43388;4.766666667;A7;181;1.109522546;0.180116007;1.360107145;0.004109117;9.449865754;B05;1.014010021;0.086084348;0.086084348;9;GP_5
GP;GP2-4_31;43388;4.766666667;A7;181;1.109522546;0.180116007;1.360107145;0.004109117;8.749315706;C01;1.314630085;-0.184861083;-0.184861083;10;GP_5
GP;GP2-4_31;43388;4.766666667;A7;181;1.109522546;0.180116007;1.360107145;0.004109117;8.100699768;C02;1.422149667;-0.281767254;-0.281767254;11;GP_5
GP;GP2-4_31;43388;4.766666667;A7;181;1.109522546;0.180116007;1.360107145;0.004109117;7.500167892;C05;1.361552376;-0.227151608;-0.227151608;12;GP_5
GP;GP2-4_31;43388;4.766666667;A7;181;1.109522546;0.180116007;1.360107145;0.004109117;15.00150898;C06;-0.390871696;1.352288196;1;3;GP_5
GP;GP2-4_31;43388;4.766666667;A7;181;1.109522546;0.180116007;1.360107145;0.004109117;12.85972981;D01;0.354831222;0.680194672;0.680194672;5;GP_5
GP;GP2-4_31;43388;4.766666667;A7;181;1.109522546;0.180116007;1.360107145;0.004109117;11.02373441;D02;0.919219848;0.171517649;0.171517649;7;GP_5
GP;GP2-4_31;43388;4.766666667;A7;181;1.109522546;0.180116007;1.360107145;0.004109117;15.00150898;D03;-0.651455872;1.587149738;1;3;GP_5
GP;GP2-4_31;43388;4.766666667;A7;181;1.109522546;0.180116007;1.360107145;0.004109117;12.85972981;D04;-0.418850421;1.377505102;1;5;GP_5
GP;GP2-4_31;43388;4.766666667;A7;181;1.109522546;0.180116007;1.360107145;0.004109117;11.02373441;D05;0.789150026;0.288748093;0.288748093;7;GP_5
GP;GP2-4_31;43388;4.766666667;A7;181;1.109522546;0.180116007;1.360107145;0.004109117;0;A04;1.015390822;0.084839848;0.084839848;Control 1;GP_5
GP;GP2-4_31;43388;4.766666667;A7;181;1.109522546;0.180116007;1.360107145;0.004109117;0;B01;1.344132776;-0.211451521;-0.211451521;Control 2;GP_5
GP;GP2-4_31;43388;4.766666667;A7;181;1.109522546;0.180116007;1.360107145;0.004109117;0;B06;0.986588533;0.110799022;0.110799022;Control 3;GP_5
GP;GP2-4_31;43388;4.766666667;A7;181;1.109522546;0.180116007;1.360107145;0.004109117;0;C03;1.259806399;-0.13544912;-0.13544912;Control 4;GP_5
GP;GP2-4_31;43388;4.766666667;A7;181;1.109522546;0.180116007;1.360107145;0.004109117;0;D06;0.9416942;0.151261772;0.151261772;Control 5;GP_5
GP;GP2-4_32;43388;4.833333333;A8;165;1.128720406;0.179287326;1.427749856;0.00310282;17.5;A01;-0.955260196;1.846321366;1;1;GP_6
GP;GP2-4_32;43388;4.833333333;A8;165;1.128720406;0.179287326;1.427749856;0.00310282;16.20266667;A02;-0.687643262;1.609223735;1;2;GP_6
GP;GP2-4_32;43388;4.833333333;A8;165;1.128720406;0.179287326;1.427749856;0.00310282;15.00150898;A03;-0.164306301;1.145568646;1;3;GP_6
GP;GP2-4_32;43388;4.833333333;A8;165;1.128720406;0.179287326;1.427749856;0.00310282;13.88939711;A05;-0.195482791;1.173189737;1;4;GP_6
GP;GP2-4_32;43388;4.833333333;A8;165;1.128720406;0.179287326;1.427749856;0.00310282;12.85972981;A06;0.06940056;0.93851395;0.93851395;5;GP_6
GP;GP2-4_32;43388;4.833333333;A8;165;1.128720406;0.179287326;1.427749856;0.00310282;11.90639517;B02;0.705467032;0.374985135;0.374985135;6;GP_6
GP;GP2-4_32;43388;4.833333333;A8;165;1.128720406;0.179287326;1.427749856;0.00310282;11.02373441;B03;1.045750456;0.073507974;0.073507974;7;GP_6
GP;GP2-4_32;43388;4.833333333;A8;165;1.128720406;0.179287326;1.427749856;0.00310282;10.20650823;B04;1.101603294;0.024024649;0.024024649;8;GP_6
GP;GP2-4_32;43388;4.833333333;A8;165;1.128720406;0.179287326;1.427749856;0.00310282;9.449865754;B05;1.104412247;0.021536032;0.021536032;9;GP_6
GP;GP2-4_32;43388;4.833333333;A8;165;1.128720406;0.179287326;1.427749856;0.00310282;8.749315706;C01;1.317351349;-0.167119282;-0.167119282;10;GP_6
GP;GP2-4_32;43388;4.833333333;A8;165;1.128720406;0.179287326;1.427749856;0.00310282;8.100699768;C02;1.314435614;-0.16453606;-0.16453606;11;GP_6
GP;GP2-4_32;43388;4.833333333;A8;165;1.128720406;0.179287326;1.427749856;0.00310282;7.500167892;C05;1.349021368;-0.195177619;-0.195177619;12;GP_6
GP;GP2-4_32;43388;4.833333333;A8;165;1.128720406;0.179287326;1.427749856;0.00310282;15.00150898;C06;-0.017151502;1.015195528;1;3;GP_6
