"Strain"	"Predict"	"Predict_low"	"Predict_high"	"EC05"	"EC05_SE"	"EC05_Low"	"EC05_high"	"EC50"	"EC50_SE"	"EC50_Low"	"EC50_high"	"EC95"	"EC95_SE"	"EC95_Low"	"EC95_high"	"Population"	"Plate.ID"	"Running.ID"	"Incubation_Position"	"Light_Intensity"	"Wait_time"	"RO5_Growth_Rate"	"Growth_Rate"	"SD_Grpwth_Rate."	"pH"	"FvFm"	"Start_Density"	"Pre_Density"	"drc_Normalization"	"Start_density"	"Relative_Start_Density"	"Biovolume"	"Surfacearea"	"Surface_Vol_ratio"	"Diameter"	"Diamter_Length_ratio"	"CuGrowth"	"CuGrowth_L"	"CuGrowth_H"
"27"	"GP2-4_69"	0.858719216442096	0.770209189631019	0.947229243253172	6.12654195233856	0.222435759138807	5.6809935358068	6.60703379737852	7.84033116925391	0.082309687653014	7.67101382114209	8.01338575015399	9.00643796812862	0.168724148348092	8.66230396348889	9.36424364876224	"GP"	"GP_29"	"GP_29"	"G3"	168	6.366666667	1.446455331	1.524050089	0.157181155	7.94	0.61	0.001808954	0.192994371	"Normal"	15.71428571	3.01602262	371.8528646	290.2046875	0.780428807	5.6875	0.600833333	0.215318990755413	0.350212704994228	0.0804252765166005
"28"	"GP2-4_70"	0.708836465833133	0.58282890271375	0.834844028952516	6.28360654873908	0.364898517069676	5.5687899813567	7.09017782885348	8.16326166141465	0.13001750771949	7.89730432939984	8.43817563223963	9.45706865512206	0.276050105992092	8.9000680216717	10.0489285396376	"GP"	"GP_30"	"GP_30"	"G4"	173	6.433333333	1.456583205	1.460262023	0.07330566	7.96	0.61	0.001752757	0.190189491	"Low"	12.76785714	2.450518379	346.5805664	271.80625	0.784251272	5.8125	0.712916667	0.425175051426339	0.609179110460349	0.241170992392328
"29"	"VG1-2_44"	0.890225719916061	0.825686753606262	0.95476468622586	4.69372659834468	0.309989105169591	4.09138003115425	5.38475262924743	7.16539354230509	0.119708548328106	6.92072093407532	7.41871621543247	9.08913284912813	0.235941477425651	8.61147461800535	9.5932856582274	"VG"	"VG1-2_1"	"VG1-2_1"	"A1"	170	4	1.309597146	1.584569991	0.029048835	7.57	0.64	0.004729745	0.134550468	"Normal"	12.0333333	2.89106453	293.7617188	257.8234375	0.877661795	5.0625	0.479285714	0.173945030004639	0.276211539269306	0.0716785207399712
"30"	"VG1-2_45"	0.687043280999058	0.61217298836686	0.761913573631256	6.01157651213866	0.258639675452904	5.49706630335933	6.57424345404241	8.14476208259176	0.0908253373746675	7.95805375686024	8.33585087620682	9.66100899962015	0.205516212409691	9.24293052979607	10.0979980959351	"VG"	"VG1-2_2"	"VG1-2_2"	"B1"	172	4.0390625	1.407991056	1.328569725	0.096258474	7.65	0.64	0.003454552	0.129024139	"Normal"	26	6.24662142	149.8450521	164.85	1.100136426	4	0.47	0.415784822099984	0.515255226193013	0.316314418006955
"31"	"VG1-2_49"	0.974052513649591	0.92083724196709	1.02726778533209	5.99383820682425	0.261425468454595	5.47410151681481	6.56292111851267	7.49832443815536	0.0642731360824282	7.36584541192786	7.63318617694451	8.50432889090721	0.173715210008584	8.15063393247196	8.87337236390696	"VG"	"VG1-2_3"	"VG1-2_3"	"B2"	181	4.078125	1.346348971	1.483911662	0.113622362	7.7	0.63	0.004258175	0.144652596	"Normal"	10.7083333	2.57272709	223.4388021	214.1578125	0.958462946	4.5625	0.497202381	0.0385037775949577	0.117470539841119	-0.0404629846512008
"32"	"VG1-2_56"	0.723251087402139	0.62360043938262	0.822901735421658	5.79771551267893	0.345277130061722	5.12235680672277	6.56211709458472	8.01207042709105	0.119604416435509	7.76716065109889	8.2647025614933	9.60997486004954	0.286134435730284	9.03297400118492	10.2238329036118	"VG"	"VG1-2_4"	"VG1-2_4"	"C1"	175	4.1171875	1.326284011	1.626721304	0.071377311	7.65	0.62	0.004257728	0.172753876	"Normal"	18.6666667	4.48475384	244.0348307	224.4609375	0.919790576	4.8125	0.51375	0.450193351981775	0.612297184072531	0.288089519891017
"33"	"VG1-2_58"	0.725755076120129	0.65446993137776	0.797040220862497	5.63338269780603	0.260686742637043	5.11652369464124	6.20245356298805	7.96202518018426	0.0957234526757867	7.76542531449775	8.16360243031818	9.67144568522188	0.215494137656623	9.23352537524492	10.1301353319469	"VG"	"VG1-2_5"	"VG1-2_5"	"C2"	184	4.15625	1.42278285	1.520942903	0.072906029	7.65	0.64	0.005344493	0.181103636	"Normal"	13.0666667	3.13932769	379.2633464	294.865625	0.777469344	5.75	0.579940476	0.417110870658865	0.525531505644099	0.308690235673633
"34"	"VG1-2_61"	0.893797197193579	0.846606298721353	0.940988095665806	5.56418942868814	0.151843662699477	5.25720650666755	5.88909793805112	7.54187541369313	0.0513092537283964	7.43592325907062	7.64933724756837	8.94805821773015	0.120226973246544	8.70149332636958	9.20160975418387	"VG"	"VG1-2_6"	"VG1-2_6"	"D1"	177	4.1953125	1.365315167	1.6109705	0.09122778	7.64	0.64	0.00439037	0.12963674	"Normal"	12.7916667	3.07325765	153.8313802	170.9828125	1.111495017	3.8125	0.387797619	0.171089582338461	0.247112727645713	0.0950664370312087
"35"	"VG1-2_63"	0.769220976414087	0.526596156164204	1.01184579666397	6.94092484528691	0.552037560422382	5.88281628476083	8.18934934832488	8.23510351628969	0.204561873701215	7.82049495106089	8.67169282102881	9.06589852783705	0.294222064529689	8.47422132498389	9.69888712662272	"VG"	"VG1-2_7"	"VG1-2_7"	"D2"	186	4.234375	1.414947077	0.568659565	0.0982213	7.64	0.65	0.005246181	0.201088196	"Low"	17.25	4.14439306	204.4270833	197.4765625	0.966	4.5625	0.514166667	0.13123469916349	0.269205623904992	-0.00673622557801164
"36"	"VG1-2_64"	0.817126329480171	0.755541299749439	0.878711359210903	4.57044472123149	0.289257339234513	4.00680646781584	5.21337007854528	7.34626678248999	0.116774861753481	7.107390205109	7.59317190728073	9.59254253019164	0.251570115624928	9.08338454733419	10.1302407394544	"VG"	"VG1-2_8"	"VG1-2_8"	"E1"	174	4.2734375	1.364180864	1.581928041	0.058035783	7.58	0.65	0.005040748	0.12140324	"Normal"	19.5	4.68496606	184.0865885	182.2671875	0.990116602	4.4375	0.586666667	0.289292987355912	0.386716072792776	0.191869901919049
