"Strain"	"Predict"	"Predict_low"	"Predict_high"	"EC05"	"EC05_SE"	"EC05_Low"	"EC05_high"	"EC50"	"EC50_SE"	"EC50_Low"	"EC50_high"	"EC95"	"EC95_SE"	"EC95_Low"	"EC95_high"
"27"	"GP2-4_67"	"0.622782029462579"	"0.527129438577703"	"0.718434620347454"	"6.14443479735212"	"0.380014087699576"	"5.40286379124074"	"6.9877902604392"	"8.31433884742074"	"0.125384743085155"	"8.05763340013804"	"8.57922258768257"	"9.85520922691302"	"0.29587820233924"	"9.25871180986626"	"10.4901363062984"
"28"	"GP2-4_68"	"0.905290551968213"	"0.827684195681686"	"0.98289690825474"	"5.35399934199398"	"0.313310581884989"	"4.7405205039571"	"6.04686952205858"	"7.420154028889"	"0.101776885968169"	"7.21148761474212"	"7.6348582641789"	"8.91438310554389"	"0.222156828837535"	"8.46415043043966"	"9.3885649605921"
"29"	"GP2-4_69"	"0.858719216442096"	"0.770209189631019"	"0.947229243253172"	"6.12654195233856"	"0.222435759138807"	"5.6809935358068"	"6.60703379737852"	"7.84033116925391"	"0.082309687653014"	"7.67101382114209"	"8.01338575015399"	"9.00643796812862"	"0.168724148348092"	"8.66230396348889"	"9.36424364876224"
"30"	"GP2-4_70"	"0.708836465833133"	"0.58282890271375"	"0.834844028952516"	"6.28360654873908"	"0.364898517069676"	"5.5687899813567"	"7.09017782885348"	"8.16326166141465"	"0.13001750771949"	"7.89730432939984"	"8.43817563223963"	"9.45706865512206"	"0.276050105992092"	"8.9000680216717"	"10.0489285396376"
"31"	"RO5"	"0.583527550437628"	"0.482971528619285"	"0.684083572255971"	"6.6301025654587"	"0.329714215263334"	"5.97868906366547"	"7.35249141750009"	"8.46269530971831"	"0.109911856084421"	"8.23718033901429"	"8.69438435940549"	"9.70715154915374"	"0.238082638827691"	"9.22444659180279"	"10.2151159162191"
"32"	"MM"	"0.845519999566317"	"0.711968912746183"	"0.97907108638645"	"5.91485248091387"	"0.375137160740239"	"5.18397115144284"	"6.7487798154964"	"7.78960712042287"	"0.142038515168193"	"7.49975230016128"	"8.09066441957527"	"9.09357514216642"	"0.283971434096196"	"8.5217914184175"	"9.70372364283743"
"33"	"VG1-2_44"	"0.890225719916061"	"0.825686753606262"	"0.95476468622586"	"4.69372659834468"	"0.309989105169591"	"4.09138003115425"	"5.38475262924743"	"7.16539354230509"	"0.119708548328106"	"6.92072093407532"	"7.41871621543247"	"9.08913284912813"	"0.235941477425651"	"8.61147461800535"	"9.5932856582274"
"34"	"VG1-2_45"	"0.687043280999058"	"0.61217298836686"	"0.761913573631256"	"6.01157651213866"	"0.258639675452904"	"5.49706630335933"	"6.57424345404241"	"8.14476208259176"	"0.0908253373746675"	"7.95805375686024"	"8.33585087620682"	"9.66100899962015"	"0.205516212409691"	"9.24293052979607"	"10.0979980959351"
"35"	"VG1-2_49"	"0.974052513649591"	"0.92083724196709"	"1.02726778533209"	"5.99383820682425"	"0.261425468454595"	"5.47410151681481"	"6.56292111851267"	"7.49832443815536"	"0.0642731360824282"	"7.36584541192786"	"7.63318617694451"	"8.50432889090721"	"0.173715210008584"	"8.15063393247196"	"8.87337236390696"
"36"	"VG1-2_56"	"0.723251087402139"	"0.62360043938262"	"0.822901735421658"	"5.79771551267893"	"0.345277130061722"	"5.12235680672277"	"6.56211709458472"	"8.01207042709105"	"0.119604416435509"	"7.76716065109889"	"8.2647025614933"	"9.60997486004954"	"0.286134435730284"	"9.03297400118492"	"10.2238329036118"
